,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.843960425549067,0.8860759493670887,0.9459459459459459,0.9306930693069307,0.9347826086956522,0.8333333333333334,35,7,94,2
1,2,0.843960425549067,0.8860759493670887,0.9459459459459459,0.9306930693069307,0.9347826086956522,0.8333333333333334,35,7,94,2
2,3,0.8076754288764771,0.8571428571428571,0.972972972972973,0.8910891089108911,0.9130434782608695,0.7659574468085106,36,11,90,1
3,4,0.895170197261225,0.923076923076923,0.972972972972973,0.9504950495049505,0.9565217391304348,0.8780487804878049,36,5,96,1
4,5,0.7519844688091253,0.8205128205128206,0.8648648648648649,0.9108910891089109,0.8985507246376812,0.7804878048780488,32,9,92,5
