,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8153599143698154,0.8648648648648649,0.8648648648648649,0.9504950495049505,0.927536231884058,0.8648648648648649,32,5,96,5
1,2,0.843960425549067,0.8860759493670887,0.9459459459459459,0.9306930693069307,0.9347826086956522,0.8333333333333334,35,7,94,2
2,3,0.7877809009221503,0.8461538461538461,0.8918918918918919,0.9207920792079208,0.9130434782608695,0.8048780487804879,33,8,93,4
3,4,0.9070399009063035,0.9315068493150684,0.918918918918919,0.9801980198019802,0.9637681159420289,0.9444444444444444,34,2,99,3
4,5,0.7463484126569554,0.8157894736842105,0.8378378378378378,0.9207920792079208,0.8985507246376812,0.7948717948717948,31,8,93,6
