,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.7877809009221503,0.8461538461538461,0.8918918918918919,0.9207920792079208,0.9130434782608695,0.8048780487804879,33,8,93,4
1,2,0.8503145005096854,0.888888888888889,0.8648648648648649,0.9702970297029703,0.9420289855072463,0.9142857142857143,32,3,98,5
2,3,0.7670990922268982,0.8311688311688312,0.8648648648648649,0.9207920792079208,0.9057971014492754,0.8,32,8,93,5
3,4,0.8289977821198921,0.875,0.9459459459459459,0.9207920792079208,0.927536231884058,0.813953488372093,35,8,93,2
4,5,0.7654258776988765,0.8292682926829269,0.918918918918919,0.8910891089108911,0.8985507246376812,0.7555555555555555,34,11,90,3
