,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8723425142287217,0.9005847953216374,0.9166666666666666,0.9666666666666667,0.9557291666666666,0.8850574712643678,77,10,290,7
1,2,0.795120403066791,0.8409090909090908,0.8809523809523809,0.94,0.9270833333333334,0.8043478260869565,74,18,282,10
2,3,0.822544347199478,0.8620689655172413,0.8928571428571429,0.95,0.9375,0.8333333333333334,75,15,285,9
3,4,0.7842286022833738,0.8323699421965318,0.8571428571428571,0.9433333333333334,0.9244791666666666,0.8089887640449438,72,17,283,12
4,5,0.773459388480235,0.8235294117647058,0.8333333333333334,0.9466666666666667,0.921875,0.813953488372093,70,16,284,14
