,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.6577867021722412,0.7428571428571429,0.7027027027027027,0.9306930693069307,0.8695652173913043,0.7878787878787878,26,7,94,11
1,2,0.0,0.4228571428571429,1.0,0.0,0.26811594202898553,0.26811594202898553,37,101,0,0
2,3,0.6549629785446303,0.7499999999999999,0.8918918918918919,0.8217821782178217,0.8405797101449275,0.6470588235294118,33,18,83,4
3,4,0.0,0.4228571428571429,1.0,0.0,0.26811594202898553,0.26811594202898553,37,101,0,0
4,5,0.7519844688091253,0.8205128205128206,0.8648648648648649,0.9108910891089109,0.8985507246376812,0.7804878048780488,32,9,92,5
