,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.7529425430575031,0.8495107114519969,0.8107016658253408,0.9300648882480173,0.8803364879074658,0.8922222222222222,1606,194,2580,375
1,2,0.751432562080594,0.8365061590145577,0.7541645633518425,0.9650324441240087,0.8771819137749737,0.9390320553111251,1494,97,2677,487
2,3,0.7373598256069921,0.8357239512855209,0.779404341241797,0.9387166546503244,0.8723449001051524,0.9008168028004667,1544,170,2604,437
3,4,0.7559600618681971,0.8442128359846407,0.7768803634528016,0.9545782263878875,0.880546792849632,0.9243243243243243,1539,126,2648,442
4,5,0.7745165352531878,0.8597528210639442,0.8076728924785462,0.9491708723864456,0.8902208201892744,0.9190120620333142,1600,141,2633,381
