,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.9279993490708176,0.9473684210526315,0.972972972972973,0.9702970297029703,0.9710144927536232,0.9230769230769231,36,3,98,1
1,2,0.8553389745052727,0.8947368421052632,0.918918918918919,0.9504950495049505,0.9420289855072463,0.8717948717948718,34,5,96,3
2,3,0.7987541882033553,0.8533333333333334,0.8648648648648649,0.9405940594059405,0.9202898550724637,0.8421052631578947,32,6,95,5
3,4,0.855963356299049,0.891566265060241,1.0,0.9108910891089109,0.9347826086956522,0.8043478260869565,37,9,92,0
4,5,0.7728575325540907,0.8354430379746834,0.8918918918918919,0.9108910891089109,0.9057971014492754,0.7857142857142857,33,9,92,4
