,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.939743636613051,0.9605263157894737,0.9733333333333334,0.9722222222222222,0.9726027397260274,0.948051948051948,146,8,280,4
1,2,0.9593641045445346,0.9731543624161074,0.9666666666666667,0.9895833333333334,0.9817351598173516,0.9797297297297297,145,3,285,5
2,3,0.9288483835720941,0.9530201342281879,0.9466666666666667,0.9791666666666666,0.9680365296803652,0.9594594594594594,142,6,282,8
3,4,0.9593834825900782,0.9729729729729729,0.96,0.9930555555555556,0.9817351598173516,0.9863013698630136,144,2,286,6
4,5,0.9559890660146814,0.970873786407767,1.0,0.96875,0.9794520547945206,0.9433962264150944,150,9,279,0
