,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.895170197261225,0.923076923076923,0.972972972972973,0.9504950495049505,0.9565217391304348,0.8780487804878049,36,5,96,1
1,2,0.8353748121143397,0.88,0.8918918918918919,0.9504950495049505,0.9347826086956522,0.868421052631579,33,5,96,4
2,3,0.7936777160709432,0.85,0.918918918918919,0.9108910891089109,0.9130434782608695,0.7906976744186046,34,9,92,3
3,4,0.8553389745052727,0.8947368421052632,0.918918918918919,0.9504950495049505,0.9420289855072463,0.8717948717948718,34,5,96,3
4,5,0.7310433447039718,0.8051948051948051,0.8378378378378378,0.9108910891089109,0.8913043478260869,0.775,31,9,92,6
