,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8971242486142121,0.9318568994889268,0.9255499153976311,0.9685863874345549,0.953943580886586,0.9382504288164666,547,36,1110,44
1,2,0.8749024859348116,0.9165950128976784,0.9018612521150592,0.9659685863874345,0.9441565918249856,0.9318181818181818,533,39,1107,58
2,3,0.8625274833654051,0.9090909090909091,0.9052453468697124,0.9554973821989529,0.9383995394358089,0.9129692832764505,535,51,1095,56
3,4,0.8858271254710419,0.9246401354784081,0.9238578680203046,0.9616055846422339,0.948762233736327,0.9254237288135593,546,44,1102,45
4,5,0.8786627258982449,0.9186851211072665,0.8984771573604061,0.9703315881326352,0.9458837075417387,0.9398230088495575,531,34,1112,60
