,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8916691617880451,0.9210526315789475,0.9459459459459459,0.9603960396039604,0.9565217391304348,0.8974358974358975,35,4,97,2
1,2,0.8153599143698154,0.8648648648648649,0.8648648648648649,0.9504950495049505,0.927536231884058,0.8648648648648649,32,5,96,5
2,3,0.7751184729093415,0.8333333333333334,0.8108108108108109,0.9504950495049505,0.9130434782608695,0.8571428571428571,30,5,96,7
3,4,0.9113220823186039,0.935064935064935,0.972972972972973,0.9603960396039604,0.9637681159420289,0.9,36,4,97,1
4,5,0.8031548397498246,0.8571428571428571,0.8918918918918919,0.9306930693069307,0.9202898550724637,0.825,33,7,94,4
