,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.800321408297636,0.8536585365853658,0.9459459459459459,0.900990099009901,0.9130434782608695,0.7777777777777778,35,10,91,2
1,2,0.8593737651482001,0.8974358974358975,0.9459459459459459,0.9405940594059405,0.9420289855072463,0.8536585365853658,35,6,95,2
2,3,0.8287829559775055,0.8705882352941177,1.0,0.8910891089108911,0.9202898550724637,0.7708333333333334,37,11,90,0
3,4,0.839210587272751,0.8831168831168831,0.918918918918919,0.9405940594059405,0.9347826086956522,0.85,34,6,95,3
4,5,0.7670990922268982,0.8311688311688312,0.8648648648648649,0.9207920792079208,0.9057971014492754,0.8,32,8,93,5
