,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.9250503053750327,0.9448818897637795,0.9523809523809523,0.9773371104815864,0.9707724425887265,0.9375,120,8,345,6
1,2,0.9242818527571433,0.944,0.9365079365079365,0.9830028328611898,0.9707724425887265,0.9516129032258065,118,6,347,8
2,3,0.9242818527571433,0.944,0.9365079365079365,0.9830028328611898,0.9707724425887265,0.9516129032258065,118,6,347,8
3,4,0.9087064678522222,0.932806324110672,0.9365079365079365,0.9745042492917847,0.964509394572025,0.9291338582677166,118,9,344,8
4,5,0.9357656056331736,0.9527559055118109,0.9603174603174603,0.9801699716713881,0.9749478079331941,0.9453125,121,7,346,5
