,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8752663347956775,0.9090909090909091,0.9459459459459459,0.9504950495049505,0.9492753623188406,0.875,35,5,96,2
1,2,0.8495611670549349,0.8888888888888891,0.972972972972973,0.9207920792079208,0.9347826086956522,0.8181818181818182,36,8,93,1
2,3,0.8157125393531419,0.8604651162790697,1.0,0.8811881188118812,0.9130434782608695,0.7551020408163265,37,12,89,0
3,4,0.8795118720465552,0.9113924050632912,0.972972972972973,0.9405940594059405,0.9492753623188406,0.8571428571428571,36,6,95,1
4,5,0.7519844688091253,0.8205128205128206,0.8648648648648649,0.9108910891089109,0.8985507246376812,0.7804878048780488,32,9,92,5
