,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8924664491037331,0.9326948656557594,0.8849066128218072,0.9909877433309301,0.9467928496319663,0.9859392575928009,1753,25,2749,228
1,2,0.9048136689555925,0.9417933927635029,0.9066128218071681,0.9866618601297765,0.9533123028391167,0.9798145117294054,1796,37,2737,185
2,3,0.8945434177287258,0.9346733668341708,0.8919737506309945,0.9881038211968277,0.9480546792849632,0.9816666666666667,1767,33,2741,214
3,4,0.8988937316282026,0.9385941991115757,0.9066128218071681,0.9819754866618601,0.9505783385909569,0.9729144095341279,1796,50,2724,185
4,5,0.8960045417079487,0.9388690779419255,0.9303382130237254,0.9632299927901946,0.9495268138801262,0.9475578406169666,1843,102,2672,138
