,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8916691617880451,0.9210526315789475,0.9459459459459459,0.9603960396039604,0.9565217391304348,0.8974358974358975,35,4,97,2
1,2,0.8190087872225003,0.868421052631579,0.8918918918918919,0.9405940594059405,0.927536231884058,0.8461538461538461,33,6,95,4
2,3,0.7877809009221503,0.8461538461538461,0.8918918918918919,0.9207920792079208,0.9130434782608695,0.8048780487804879,33,8,93,4
3,4,0.8076754288764771,0.8571428571428571,0.972972972972973,0.8910891089108911,0.9130434782608695,0.7659574468085106,36,11,90,1
4,5,0.6445579543321557,0.7368421052631577,0.9459459459459459,0.7722772277227723,0.8188405797101449,0.603448275862069,35,23,78,2
