,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.7883683135762931,0.8351648351648353,0.9047619047619048,0.9266666666666666,0.921875,0.7755102040816326,76,22,278,8
1,2,0.7234283929529476,0.783132530120482,0.7738095238095238,0.9433333333333334,0.90625,0.7926829268292683,65,17,283,19
2,3,0.7648394597021695,0.8165680473372781,0.8214285714285714,0.9466666666666667,0.9192708333333334,0.8117647058823529,69,16,284,15
3,4,0.6676871644145619,0.7411764705882353,0.75,0.9233333333333333,0.8854166666666666,0.7325581395348837,63,23,277,21
4,5,0.6944225079476266,0.7634408602150539,0.8452380952380952,0.8966666666666666,0.8854166666666666,0.696078431372549,71,31,269,13
