,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8697864764047947,0.9041095890410958,0.8918918918918919,0.9702970297029703,0.9492753623188406,0.9166666666666666,33,3,98,4
1,2,0.839210587272751,0.8831168831168831,0.918918918918919,0.9405940594059405,0.9347826086956522,0.85,34,6,95,3
2,3,0.7519844688091253,0.8205128205128206,0.8648648648648649,0.9108910891089109,0.8985507246376812,0.7804878048780488,32,9,92,5
3,4,0.8752663347956775,0.9090909090909091,0.9459459459459459,0.9504950495049505,0.9492753623188406,0.875,35,5,96,2
4,5,0.678976031086232,0.7674418604651163,0.8918918918918919,0.8415841584158416,0.855072463768116,0.673469387755102,33,16,85,4
