,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.7410969928878598,0.8464708912931479,0.8293791014639071,0.9069935111751982,0.87465825446898,0.864281956864808,1643,258,2516,338
1,2,0.7075729956021871,0.8300276173738388,0.834427057041898,0.8741888968997837,0.8576235541535226,0.8256743256743256,1653,349,2425,328
2,3,0.7388800305689742,0.8464285714285713,0.8374558303886925,0.8990627253064167,0.8733964248159832,0.855595667870036,1659,280,2494,322
3,4,0.7473572570692871,0.8519177038354077,0.8465421504290762,0.8994232155731795,0.8773922187171399,0.8573619631901841,1677,279,2495,304
4,5,0.7082906972766286,0.831214161057093,0.8414941948510853,0.8691420331651045,0.8576235541535226,0.8211822660098522,1667,363,2411,314
