,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8719954360253241,0.9066666666666667,0.918918918918919,0.9603960396039604,0.9492753623188406,0.8947368421052632,34,4,97,3
1,2,0.8553389745052727,0.8947368421052632,0.918918918918919,0.9504950495049505,0.9420289855072463,0.8717948717948718,34,5,96,3
2,3,0.7728575325540907,0.8354430379746834,0.8918918918918919,0.9108910891089109,0.9057971014492754,0.7857142857142857,33,9,92,4
3,4,0.843960425549067,0.8860759493670887,0.9459459459459459,0.9306930693069307,0.9347826086956522,0.8333333333333334,35,7,94,2
4,5,0.7621335642923709,0.8266666666666665,0.8378378378378378,0.9306930693069307,0.9057971014492754,0.8157894736842105,31,7,94,6
