,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8289977821198921,0.875,0.9459459459459459,0.9207920792079208,0.927536231884058,0.813953488372093,35,8,93,2
1,2,0.839210587272751,0.8831168831168831,0.918918918918919,0.9405940594059405,0.9347826086956522,0.85,34,6,95,3
2,3,0.8084089790515788,0.860759493670886,0.918918918918919,0.9207920792079208,0.9202898550724637,0.8095238095238095,34,8,93,3
3,4,0.8795118720465552,0.9113924050632912,0.972972972972973,0.9405940594059405,0.9492753623188406,0.8571428571428571,36,6,95,1
4,5,0.717158487710014,0.7951807228915664,0.8918918918918919,0.8712871287128713,0.8768115942028986,0.717391304347826,33,13,88,4
