,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8289977821198921,0.875,0.9459459459459459,0.9207920792079208,0.927536231884058,0.813953488372093,35,8,93,2
1,2,0.8752663347956775,0.9090909090909091,0.9459459459459459,0.9504950495049505,0.9492753623188406,0.875,35,5,96,2
2,3,0.7519844688091253,0.8205128205128206,0.8648648648648649,0.9108910891089109,0.8985507246376812,0.7804878048780488,32,9,92,5
3,4,0.8996379142177896,0.9249999999999999,1.0,0.9405940594059405,0.9565217391304348,0.8604651162790697,37,6,95,0
4,5,0.7518597048572728,0.8192771084337348,0.918918918918919,0.8811881188118812,0.8913043478260869,0.7391304347826086,34,12,89,3
