,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.7944369956396989,0.8470588235294119,0.972972972972973,0.8811881188118812,0.9057971014492754,0.75,36,12,89,1
1,2,0.843960425549067,0.8860759493670887,0.9459459459459459,0.9306930693069307,0.9347826086956522,0.8333333333333334,35,7,94,2
2,3,0.8289977821198921,0.875,0.9459459459459459,0.9207920792079208,0.927536231884058,0.813953488372093,35,8,93,2
3,4,0.9070399009063035,0.9315068493150684,0.918918918918919,0.9801980198019802,0.9637681159420289,0.9444444444444444,34,2,99,3
4,5,0.7310433447039718,0.8051948051948051,0.8378378378378378,0.9108910891089109,0.8913043478260869,0.775,31,9,92,6
